"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638261600000,8192,717.3515625,3426.775390625,4047.873046875,2652.455078125
1638261720000,8192,636.439453125,3507.72265625,4047.837890625,2652.384765625
1638261840000,8192,591.2421875,3552.8359375,4047.921875,2652.3984375
1638261960000,8192,262.458984375,3881.54296875,4047.998046875,2652.330078125
1638262080000,8192,13.591796875,4129.80859375,4048.599609375,2652.45703125
1638262200000,8192,17.64453125,4126.1796875,4048.17578125,2652.4453125
1638262320000,8192,14.873046875,4128.736328125,4048.390625,2652.41015625
1638262440000,8192,16.8515625,4127.009765625,4048.138671875,2652.375
1638262560000,8192,15.0546875,4128.80078125,4048.14453125,2652.375
1638262680000,8192,17.646484375,4126.224609375,4048.12890625,2652.384765625
1638262800000,8192,16.666015625,4127.169921875,4048.1640625,2652.412109375
1638262920000,8192,19.154296875,4124.73828125,4048.107421875,2652.328125
1638263040000,8192,15.4296875,4127.69921875,4048.87109375,2652.49609375
1638263160000,8192,15.048828125,4126.833984375,4050.1171875,2652.337890625
1638263280000,8192,17.689453125,4125.984375,4048.326171875,2652.34375
1638263400000,8192,15.830078125,4128.044921875,4048.125,2652.28125
1638263520000,8192,18.26953125,4125.486328125,4048.244140625,2652.34375
1638263640000,8192,15.025390625,4128.74609375,4048.228515625,2652.3203125
1638263760000,8192,19.439453125,4123.716796875,4048.84375,2652.4296875
1638263880000,8192,167.1640625,4125.5703125,3899.265625,2652.01953125
1638264000000,8192,313.6953125,4128.033203125,3750.271484375,2651.65234375
1638264120000,8192,313.62890625,4128.029296875,3750.341796875,2651.72265625
1638264240000,8192,312.71875,4128.07421875,3751.20703125,2651.814453125
1638264360000,8192,313.14453125,4128.068359375,3750.787109375,2651.78125
1638264480000,8192,313.662109375,4128.150390625,3750.1875,2651.568359375
1638264600000,8192,321.169921875,4128.224609375,3742.60546875,2651.484375
1638264720000,8192,323.560546875,4128.32421875,3740.115234375,2651.771484375
1638264840000,8192,323.748046875,4128.474609375,3739.77734375,2651.48046875
1638264960000,8192,320.3125,4128.474609375,3743.212890625,2651.607421875
1638265080000,8192,321.17578125,4128.4765625,3742.34765625,2651.544921875
1638265200000,8192,320.376953125,4128.48828125,3743.134765625,2651.6171875
1638265320000,8192,182.509765625,4264.33203125,3745.158203125,2651.498046875
1638265440000,8192,181.986328125,4264.435546875,3745.578125,2651.505859375
1638265560000,8192,178.75,4264.453125,3748.796875,2651.603515625
